iter	Logloss
233	0.02830383587
234	0.02816922189
235	0.02796502354
236	0.02784421441
237	0.02756989335
238	0.02741902053
239	0.02728046396
240	0.027097027
241	0.02694288434
242	0.02674472794
243	0.02651818486
244	0.02633821641
245	0.02619317216
246	0.02603052342
247	0.02585618026
248	0.02565441454
249	0.02545422834
250	0.02529961156
251	0.02514267565
252	0.02495256361
253	0.02480819887
254	0.02470096368
255	0.02454730986
256	0.0243847162
257	0.02416466544
258	0.02399527911
259	0.02383054077
260	0.02369114597
261	0.02352141306
262	0.02338378173
263	0.02317469505
264	0.0230059536
265	0.02292901617
266	0.02279654613
267	0.02262567856
268	0.02247470269
269	0.02230086743
270	0.02217530486
271	0.02204735382
272	0.02195853697
273	0.02186209126
274	0.02176652635
275	0.02158349193
276	0.02147085008
277	0.02133626675
278	0.02122563077
279	0.0211045218
280	0.02098806284
281	0.02086287133
282	0.02068772995
283	0.02058314717
284	0.02050299389
285	0.02034446745
286	0.02023953337
287	0.02010183953
288	0.01997430298
289	0.01984930067
290	0.01975212634
291	0.01966185044
292	0.01953706519
293	0.01943010062
294	0.0193271944
295	0.01919652833
296	0.01911331512
297	0.01901910592
298	0.0188885857
299	0.01882306806
300	0.01871572778
301	0.01861958699
302	0.01850141225
303	0.01839891963
304	0.01831884486
305	0.01823582058
306	0.01812824543
307	0.01803058398
308	0.01795041368
309	0.01788953627
310	0.01779261312
311	0.0177035448
312	0.01760701614
313	0.01751172879
314	0.01743249159
315	0.01736122832
316	0.01726716012
317	0.01718033923
318	0.01711528673
319	0.01702491206
320	0.01694581405
321	0.01685469919
322	0.01675018132
323	0.01670327694
324	0.01659398446
325	0.01650732853
326	0.0164283063
327	0.01635655037
328	0.01628023827
329	0.01622881823
330	0.01617311789
331	0.01609430155
332	0.01599511493
333	0.01589615692
334	0.01584132784
335	0.01577662024
336	0.01571422281
337	0.01566769297
338	0.01559831799
339	0.01548941278
340	0.01541169466
341	0.01535642
342	0.01526774774
343	0.01519395379
344	0.01512200959
345	0.01504793733
346	0.01499440113
347	0.01492094029
348	0.01485773099
349	0.01482577954
350	0.01474944739
351	0.01468664122
352	0.01462997031
353	0.01456599496
354	0.01448794599
355	0.01440798816
356	0.0143313748
357	0.01428565287
358	0.014204234
359	0.01414352973
360	0.01408357115
361	0.01402023661
362	0.0139355119
363	0.01386360017
364	0.01380798564
365	0.01376181488
366	0.0137239614
367	0.01364778572
368	0.01359938978
369	0.01353785435
370	0.01349429814
371	0.01341344589
372	0.01334935119
373	0.013301495
374	0.01319970741
375	0.01312905982
376	0.01306645421
377	0.01300079413
378	0.01295948314
379	0.01292073461
380	0.01287858895
381	0.0128129289
382	0.01276957426
383	0.01272197212
384	0.0126610086
385	0.01260941127
386	0.01253577981
387	0.01249594019
388	0.01242854431
389	0.01236876233
390	0.01233408054
391	0.01229067291
392	0.01222289686
393	0.01220319637
394	0.01216128167
395	0.01210259755
396	0.01206552286
397	0.01200771027
398	0.01195579114
399	0.01191472385
