country,avg_antibiotic_consumption_2015_2020,health_exp_pc,tourists_per_year
AR,0.0,1234.3068542483334,6907200.0
BR,0.0,831.7213745133332,6483200.0
CL,0.0,1282.3990681950002,6370800.0
DE,11.7456367,5199.32478841,33145000.0
FR,25.0238588,4487.612386066667,193433666.66666666
IN,0.0,59.41781107666666,15746800.0
NL,0.0,5132.056070963333,15822166.666666666
PE,10.14676875,347.39559427833336,4311500.0
PK,0.0,37.59231503833333,0.0
TR,0.0,414.73735555,37303666.666666664
US,0.0,10156.38948568,151042947.91666666
